GR;PODGR;RODZ;TYP;OPIS;NR_ODPADU
20;01;37;N;Drewno zawieraj¹ce substancje niebezpieczne;879
20;01;38;B;Drewno inne ni¿ wymienione w 20 01 37;880
20;01;39;B;Tworzywa sztuczne;881
20;01;40;B;Metale;882
20;01;41;B;Odpady zmiotek wentylacyjnych;883
20;01;80;B;Œrodki ochrony roœlin inne ni¿ wymienione w 20 01 19;884
20;01;99;B;Inne nie wymienione frakcje zbierane w sposób selektywny;885
20;02;;B;Odpady z ogrodów i parków (w tym z cmentarzy);886
20;02;01;B;Odpady ulegaj¹ce biodegradacji;887
20;02;02;B;Gleba i ziemia, w tym kamienie;888
20;02;03;B;Inne odpady nie ulegaj¹ce biodegradacji;889
20;03;;B;Inne odpady komunalne;890
20;03;01;B;Nie segregowane (zmieszane) odpady komunalne;891
20;03;02;B;Odpady z targowisk;892
20;03;03;B;Odpady z czyszczenia ulic i placów;893
20;03;04;B;Szlamy ze zbiorników bezodp³ywowych s³u¿¹cych do gromadzenia nieczystoœci;894
20;03;06;B;Odpady ze studzienek kanalizacyjnych;895
20;03;07;B;Odpady wielkogabarytowe;896
20;03;99;B;Odpady komunalne nie wymienione w innych podgrupach;897
13;07;03;N;INNE PALIWA (W£¥CZNIE Z MIESZANINAMI);898
13;01;07;N;OLEJ OPA£OWY I OLEJ NAPÊDOWY;899
13;07;01;N;OJEJ OPA£OWY I OLEJ NAPÊDOWY;900
10;08;10;N;zgary z wytopu o w³aœciwoœciach palnych lub wydzielaj¹ce w zetkniêciu z wod¹ gazy palne w niebezpiecznych iloœciach;901
10;10;08;B;RDZENIE I FORMY ODLEWNICZE PO PROCESIE ODLEWANIA INNE NI¯ WYMIENIONE W 10 10 07;902
10;05;04;B;PY£ GRAFITOWY;903
13;07;02;N;BENZYNA;904
11;05;04;N;ZUZYTY TOPNIK;905
10;11;03;B;ODPADY W£ÓKNA SZKLANEGO;906
11;05;99;B;INNE NIEWYMIENIONE ODPADY;907
11;05;03;N;ODPADY Z OCZYSZCZANIA GAZÓW ODLOTOWYCH;908
55;55;55;N;Odpady Niebezpieczne (ró¿ne kod wewnêtrzny);909
66;66;66;B;Odpady inne ni¿ niebezpieczne (kod wewnêtrzny);910
10;13;82;B;WYBRAKOWANE WYROBY;911
10;12;09;N;Odpady sta³e z oczyszczania gazów odlotowychzawieraj¹ce substancje niebezpieczne;912
10;10;12;B;Inne cz¹steczki sta³e ni¿ wymienione w 10 10 11;913
10;13;99;B;Inne niewymienione odpady;914
10;04;01;N;¯u¿le z produkcji pierwotnej i wtórnej;915
10;04;02;N;Zgary z produkcji pierwotnej i wtórnej;916
10;04;03;N;Wapno zawieraj¹ce zwi¹zki arsenu(arsenian wapniowy);917
10;04;04;N;Py³y z gazów odlotowych;918
10;04;05;N;Inne cz¹stki i py³y;919
10;04;06;N;Odpady sta³e z oczyszczania gazów odlotowych;920
10;04;07;N;Szlamy i osady pofiltracyjne z oczyszczania gazów odlotowych;921
10;04;09;N;Odpady z uzdatniania wody ch³odz¹cej zawieraj¹ce oleje;922
10;04;10;B;Odpady z uzdatniania wody ch³odz¹cej inne ni¿ wymienione w 10 04 09;923
10;04;99;B;Inne niewymienione odpady;924
10;05;01;B;¯u¿le z produkcji pierwotnej i wtórnej(z wy³¹czeniem 10 05 80);925
10;05;03;N;Py³y z gazów odlotowych;926
10;05;05;N;Odpady sta³e z oczyszczania gazów odlotowych;927
10;05;06;N;Szlamy  i osady pofiltracyjne z oczyszczania gazów odlotowych;928
10;05;08;N;Odpady z uzdatniania wody ch³odz¹cej zawieraj¹ce oleje;929
10;05;09;B;Odpady z uzdatniania wody ch³odz¹cej inne ni¿ wymienione w 10 05 08;930
10;05;10;N;Zgary z wytopu o w³aœciwoœciach palnych lub wydzielaj¹ce w zetkniêciu z wod¹ gazy palne w niebezpiecznych iloœciach;931
10;05;11;B;Zgary inne ni¿ wymienione w 10 05 10;932
10;05;80;B;¯u¿le granulowane z pieców szybowych oraz ¿u¿le z pieców obrotowych;933
10;05;99;B;Inne niewymienione odpady;934
10;06;01;B;¯u¿le z produkcji pierwotnej i wtórnej;935
10;06;02;B;Zgary z produkcji pierotnej i wtórnej;936
10;06;03;N;Py³y z gazów odlotowych;937
10;06;04;B;Inne czastki i py³y;938
10;06;06;N;Odpady sta³e z oczyszczania gazów odlotowych;939
10;06;07;N;Szlamy i osady pofiltracyjne z oczyszczania gazów odlotowych;940
10;06;09;N;Odpady z uzdatniania wody ch³odz¹cej zawieraj¹ce oleje;941
10;06;10;B;Odpady z uzdatniania wody ch³odz¹cej inne ni¿ wymienione w 10 06 09;942
10;06;99;B;Inne niewymienione odpady;943
10;07;01;B;¯u¿le z produkcji pierwotnej i wtórnej;944
10;07;02;B;Zgary z produkcji pierwotnej i wtórnej;945
10;07;03;B;Odpady sta³e z oczyszczania gazów odlotowych;946
10;07;04;B;Inne cz¹stki i py³y;947
10;07;05;B;Szlamy i osady pofiltracyjne z oczyszczania gazów odlotowych;948
10;07;07;N;Odpady z uzdatniania wody ch³odz¹cej zawieraj¹ce oleje;949
10;07;08;B;Odpady z uzdatniania wody ch³odz¹cej inne ni¿ wymienione w 10 07 07;950
10;07;99;B;Inne niewymienione odpady;951
10;08;04;B;Cz¹stki i py³y;952
10;08;08;N;S³one ¿u¿le z produkcji pierwotnej i wtórnej;953
10;08;09;B;Inne ¿u¿le;954
10;08;11;B;Zgary inne ni¿ wymienione w 10 08 10;955
10;08;12;N;Odpady zawieraj¹ce smo³ê z produkcji anod;956
10;08;13;B;Odpady zawieraj¹ce wêgiel z produkcji anod inne ni¿ wymienione w 10 08 12;957
10;08;14;B;Odpadowe anody;958
10;08;15;N;Py³y z gazów odlotowych zawieraj¹ce substancje niebezpieczne;959
10;08;16;B;Py³y z gazów odlotowych inne ni¿ wymienione w 10 08 15;960
10;08;17;N;Szlamy i osady pofiltracyjne z oczyszczania gazów odlotowych zawieraj¹ce substancje niebezpieczne;961
10;08;18;B;Szlamy i osady pofiltracyjne z oczyszczania gazów odlotowych inne ni¿ wymienione w 10 08 17;962
10;08;19;N;Odpady z uzdatniania wody ch³odz¹cej zawieraj¹ce oleje;963
10;08;20;B;Odpady z uzdatniania wody ch³odz¹cej inne ni¿ wymienione w 10 08 19;964
10;08;99;B;Inne niewymienione odpady;965
10;09;03;B;¯u¿le odlewnicze;966
10;09;05;N;Rdzenie i formy odlewnicze przed procesem odlewania zawieraj¹ce substancje niebezpieczne;967
10;09;07;N;Rdzenie i formy odlewnicze po procesie odlewania zawieraj¹ce substancje niebezpieczne;968
10;09;06;B;Rdzenie i formy odlewnicze przed procesem odlewania inne ni¿ wymienione w 10 09 05;969
10;09;08;B;Rdzenie i formy odlewnicze po procesie odlewania inne ni¿ wymienione w 10 09 07;970
10;09;09;N;Py³y z gazów odlotowych zawieraj¹ce substancje niebezpieczne;971
10;09;10;B;Py³y z gazów odlotowych inne ni¿ wymienione w 10 09 09;972
10;09;11;N;Inne cz¹stki sta³e zawieraj¹ce substancje niebezpieczne;973
10;09;12;B;Inne cz¹stki sta³e ni¿ wymienione w 10 09 11;974
10;09;13;N;Odpadowe œrodki wi¹¿¹ce zawieraj¹ce substancje niebezpieczne;975
10;09;14;B;Odpadowe œrodki wi¹¿¹ce inne ni¿ wymienione w 10 09 13;976
10;09;15;N;Odpady œrodków do wykrywania pêkniêæ odlewów;977
10;09;16;B;Odpady œrodków do wykrywania pêkniêæ odlewów inne ni¿ wymienione w 10 09 15;978
10;09;80;B;Wybrakowane wyroby ¿eliwne;979
10;09;99;B;Inne niewymienione odpady;980
10;10;03;B;Zgary i ¿u¿le odlewnicze;981
10;10;05;N;Rdzenie i formy odlewnicze przed procesem odlewania zawieraj¹ce substancje niebezpieczne;982
10;10;06;B;Rdzenie i formy odlewnicze przed procesem odlewania inne ni¿ wymienione w 10 10 05;983
10;10;07;N;Rdzenie i formy odlewnicze po procesie odlewania zawieraj¹ce substancje niebezpieczne;984
10;10;09;N;Py³y z gazów odlotowych zawieraj¹ce substancje niebezpieczne;985
10;10;11;N;Inne cz¹stki sta³e zawieraj¹ce substancje niebezpieczne;986
10;10;10;B;Py³y z gazów odlotowych inne ni¿ wymienione w 10 10 09;987
10;10;13;N;Odpadowe œrodki wi¹¿¹ce zawieraj¹ce substancje niebezpieczne;988
10;10;14;B;Odpadowe œrodki wi¹¿¹ce inne ni¿ wymienione 10 10 13;989
10;10;15;N;Odpady œrodków do wykrywania pêkniêæ odlewów;990
10;10;16;B;Odpady œrodków do wykrywania pêkniêæ odlewów inne ni¿ wymienione w 10 10 15;991
10;10;99;B;Inne niewymienione odpady;992
10;11;05;B;Cz¹stki i py³y;993
10;11;09;N;Odpady z przygotowania mas wsadowych do obróbki termicznej zawieraj¹ce substancje niebezpieczne;994
10;11;10;B;Odpady z przygotowania mas wsadowych inne ni¿ wymienione w 10 11 09;995
10;11;11;N;Szk³o odpadowe w postaci ma³ych cz¹stek i proszku szklanego zawieraj¹ce metale ciê¿kie(np.z lamp elektronopromieniowych);996
10;11;12;B;Szk³o odpadowe inne ni¿ wymienione w 10 11 11;997
10;11;13;N;Szlamy z polerowania i szlifowania szk³a zawieraj¹ce substancje niebezpieczne;998
10;11;14;B;Szlamy z polerowania i szlifowania szk³a inne ni¿ wymienione w 10 11 13;999
10;11;15;N;Odpady sta³e z oczyszczania gazów odlotowych zawieraj¹ce substancje niebezpieczne;1 000
10;11;16;B;Odpay sta³e z oczyszczania gazów odlotowych inne ni¿ wymienione w 10 11 15;1 001
10;11;17;N;Szlamy i osady pofiltracyjne z oczyszczania gazów odlotowych zawieraj¹ce substancje niebezpieczne;1 002
10;11;18;B;Szlamy i osady pofiltracyjne z oczyszczania gazów odlotowych inne ni¿ wymienione w 10 11 17;1 003
10;11;19;N;Odpady sta³e z zak³adowych oczyszczalni œcieków zawieraj¹ce substancje niebezpieczne;1 004
10;11;20;B;Odpady sta³e z zak³adowych oczyszczalni œcieków inne ni¿ wymienione w 10 11 19;1 005
10;11;80;B;Szlamy flurokrzemianowe;1 006
10;11;81;N;Odpady zawieraj¹ce azbest;1 007
10;11;99;B;Inne niewymienione odpady;1 008
10;12;01;B;Odpady z przygotowania mas wsadowych do obróbki termicznej;1 009
10;06;80;B;¯u¿le szybowe i granulowane;1 010
10;12;03;B;Cz±stki i py³y;1 011
10;12;05;B;Szlamy i osady pofiltracyjne z oczyszczania gazów odlotowych;1 012
10;13;14;B;Odpady betonowe i szlam betonowy;1 013
10;12;13;B;Szlamy z zak³adowych oczyszczalni Œcieków;1 014
10;12;06;B;Zu¿yte formy;1 015
10;12;08;B;Wybrakowane wyroby ceramiczne,ceg³y,kafle i ceramika budowlana(po przeróbce termicznej);1 016
10;12;10;B;Odpady sta³e z oczyszczania gazów odlotowych inne ni¿ wymienione w 101209;1 017
10;12;12;B;Odpady ze szkliwienia inne ni¿ wymienione w 101211;1 018
10;12;11;N;Odpady ze szkliwienia zawieraj¹ce metale ciê¿kie;1 019
10;12;99;B;Inne niewymienione odpady;1 020
10;13;01;B;Odpady z przygotowania mas wsadowych do obróbki termicznej;1 021
10;13;04;B;Odpady z produkcji wapna palonego i hydratyzowanego;1 022
10;13;06;B;Cz¹stki i py³y(z wy³¹czeniem 101312 i 101313);1 023
10;13;07;B;Szlamy i osady pofiltracyjne z oczyszczania gazów odlotowych;1 024
10;13;09;N;Odpady zawieraj±ce azbest z produkcji elementów cementowo-azbestowych;1 025
10;13;10;B;Odpady z produkcji elementów cementowo-azbestowych inne ni¿ wymienione w 101309;1 026
77;77;77;B;Olej Bazowy - produkt gotowy;1 027
11;03;02;N;Inne odpady;1 028
88;88;88;B;Produkt gotowy - Rozpuszczalnik;1 029
10;13;81;B;Odpady z produkcji gipsy;1 030
10;13;80;B;odpady z produkcji cementu;1 031
